origin_cluster,place_type,location_status,wikidata_qid,latitude,longitude,coordinate_source_url,captured_at_utc,review_notes
Ripley,locality,uk,Q2337139,51.2978611111,-0.4881,https://www.wikidata.org/wiki/Q2337139,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Romford,locality,uk,Q1339305,51.5768,0.1801,https://www.wikidata.org/wiki/Q1339305,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Rotherham,locality,uk,Q217039,53.43,-1.35722222222,https://www.wikidata.org/wiki/Q217039,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Rothwell,locality,uk,Q2162284,53.7552611111,-1.47363888889,https://www.wikidata.org/wiki/Q2162284,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Royal Tunbridge Wells,locality,uk,Q665489,51.132,0.263,https://www.wikidata.org/wiki/Q665489,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Rugby,locality,uk,Q623765,52.37,-1.26,https://www.wikidata.org/wiki/Q623765,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Ryde,locality,uk,Q776556,50.7271,-1.1618,https://www.wikidata.org/wiki/Q776556,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Salisbury,locality,uk,Q160642,51.074,-1.7936,https://www.wikidata.org/wiki/Q160642,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Scotland,region,uk,Q22,57,-5,https://www.wikidata.org/wiki/Q22,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Scunthorpe,locality,uk,Q913386,53.5809,-0.6502,https://www.wikidata.org/wiki/Q913386,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Selkirk,locality,uk,Q772507,55.5333333333,-2.83333333333,https://www.wikidata.org/wiki/Q772507,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Sevenoaks,locality,uk,Q939838,51.2781,0.1874,https://www.wikidata.org/wiki/Q939838,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Sheffield,locality,uk,Q42448,53.3808333333,-1.47027777778,https://www.wikidata.org/wiki/Q42448,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Shotts,locality,uk,Q1009915,55.8224,-3.80393,https://www.wikidata.org/wiki/Q1009915,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Shropshire,region,uk,Q23103,52.6166666667,-2.71666666667,https://www.wikidata.org/wiki/Q23103,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Somerset,region,uk,Q23157,51.3,-3,https://www.wikidata.org/wiki/Q23157,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
South London,district,uk,Q1394500,51.45,-0.1,https://www.wikidata.org/wiki/Q1394500,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
South Shields,locality,uk,Q279000,54.995,-1.43,https://www.wikidata.org/wiki/Q279000,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Southampton,locality,uk,Q79848,50.9066666667,-1.40444444444,https://www.wikidata.org/wiki/Q79848,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Southend-on-Sea,locality,uk,Q203995,51.53789,0.71377,https://www.wikidata.org/wiki/Q203995,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Southport,locality,uk,Q868647,53.6469444444,-3.00805555556,https://www.wikidata.org/wiki/Q868647,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
St Albans,locality,uk,Q6226,51.755,-0.336,https://www.wikidata.org/wiki/Q6226,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Stafford,locality,uk,Q826782,52.8066,-2.1171,https://www.wikidata.org/wiki/Q826782,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Staines-upon-Thames,locality,uk,Q285323,51.434,-0.511,https://www.wikidata.org/wiki/Q285323,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Stevenage,locality,uk,Q19795,51.9016666667,-0.201944444444,https://www.wikidata.org/wiki/Q19795,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Stoke-on-Trent,locality,uk,Q134902,53,-2.18333333333,https://www.wikidata.org/wiki/Q134902,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Stourbridge,locality,uk,Q661707,52.458,-2.148,https://www.wikidata.org/wiki/Q661707,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Suffolk,region,uk,Q23111,52.2,1,https://www.wikidata.org/wiki/Q23111,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Sunderland,locality,uk,Q188304,54.9044444444,-1.38111111111,https://www.wikidata.org/wiki/Q188304,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Swansea,locality,uk,Q23051,51.6166666667,-3.95,https://www.wikidata.org/wiki/Q23051,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Swindon,locality,uk,Q200942,51.5583333333,-1.78111111111,https://www.wikidata.org/wiki/Q200942,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Tavistock,locality,uk,Q668262,50.55003,-4.14424,https://www.wikidata.org/wiki/Q668262,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Teignmouth,locality,uk,Q531311,50.5491,-3.4948,https://www.wikidata.org/wiki/Q531311,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Tewkesbury,locality,uk,Q1000717,51.986,-2.136,https://www.wikidata.org/wiki/Q1000717,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Torquay,locality,uk,Q209055,50.4625,-3.52805555556,https://www.wikidata.org/wiki/Q209055,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Totnes,locality,uk,Q1007106,50.43216,-3.68391,https://www.wikidata.org/wiki/Q1007106,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Tottenham,district,uk,Q503375,51.5975,-0.0680555555556,https://www.wikidata.org/wiki/Q503375,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Tyne and Wear,region,uk,Q23080,54.974,-1.6132,https://www.wikidata.org/wiki/Q23080,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
United States,country,outside_uk,Q30,,,https://www.wikidata.org/wiki/Q30,2026-08-31T16:21:38.871966+00:00,Resolved origin retained outside the UK map.
University of Leeds,institution,uk,Q503424,53.8072222222,-1.55166666667,https://www.wikidata.org/wiki/Q503424,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Ventnor,locality,uk,Q1026673,50.5976,-1.2084,https://www.wikidata.org/wiki/Q1026673,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Wakefield,locality,uk,Q216638,53.6825,-1.4975,https://www.wikidata.org/wiki/Q216638,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Wales,region,uk,Q25,52.35,-3.63333333333,https://www.wikidata.org/wiki/Q25,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Walthamstow,district,uk,Q2321784,51.584,-0.0211,https://www.wikidata.org/wiki/Q2321784,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Warrington,locality,uk,Q215733,53.38732,-2.60288,https://www.wikidata.org/wiki/Q215733,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Warwick,locality,uk,Q549761,52.28,-1.59,https://www.wikidata.org/wiki/Q549761,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Watford,locality,uk,Q2598,51.6552777778,-0.395833333333,https://www.wikidata.org/wiki/Q2598,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Welwyn Garden City,locality,uk,Q19789,51.8062,-0.1932,https://www.wikidata.org/wiki/Q19789,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
West Lothian,region,uk,Q204940,55.9166666667,-3.5,https://www.wikidata.org/wiki/Q204940,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
West Midlands,region,uk,Q23124,52.4872222222,-1.9,https://www.wikidata.org/wiki/Q23124,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Westminster,district,uk,Q189960,51.4995,-0.1333,https://www.wikidata.org/wiki/Q189960,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Weston-super-Mare,locality,uk,Q845623,51.3477777778,-2.97805555556,https://www.wikidata.org/wiki/Q845623,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Weybridge,locality,uk,Q1754096,51.3666666667,-0.466666666667,https://www.wikidata.org/wiki/Q1754096,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Wheatley,locality,uk,Q1997905,51.747,-1.139,https://www.wikidata.org/wiki/Q1997905,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Whitley Bay,locality,uk,Q2575441,55.0456,-1.4443,https://www.wikidata.org/wiki/Q2575441,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Wimbledon,district,uk,Q736742,51.4235,-0.2171,https://www.wikidata.org/wiki/Q736742,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Winchester,locality,uk,Q172157,51.0633333333,-1.30861111111,https://www.wikidata.org/wiki/Q172157,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Windsor,locality,uk,Q464955,51.4833333333,-0.6,https://www.wikidata.org/wiki/Q464955,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Witton Gilbert,locality,uk,Q778444,54.808,-1.635,https://www.wikidata.org/wiki/Q778444,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Woking,locality,uk,Q646225,51.3161111111,-0.561111111111,https://www.wikidata.org/wiki/Q646225,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Wolverhampton,locality,uk,Q126269,52.5841666667,-2.12527777778,https://www.wikidata.org/wiki/Q126269,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Worcestershire,region,uk,Q23135,52.2,-2.16666666667,https://www.wikidata.org/wiki/Q23135,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Worthing,locality,uk,Q671348,50.8147111111,-0.371386111111,https://www.wikidata.org/wiki/Q671348,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Wrexham,locality,uk,Q496368,53.0466666667,-2.99361111111,https://www.wikidata.org/wiki/Q496368,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Yeovil,locality,uk,Q550110,50.9452,-2.637,https://www.wikidata.org/wiki/Q550110,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
York,locality,uk,Q42462,53.95,-1.08333333333,https://www.wikidata.org/wiki/Q42462,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
