band_name,study_city_label,claimed_formation_place,origin_review_status,origin_alignment,origin_evidence_url,origin_confidence,spotify_id,spotify_name_prior,spotify_expected_name,musicbrainz_id,wikidata_id,catalogue_source,selection_source,notes,uk_population_rank,fua_code,official_fua_name,population_year,population,territorial_definition,source_dataset_url,catalogue_review_ready,band,city,spotify_name,monthly_listeners,followers,world_rank,stats_extracted_at_utc,source,source_access
Sisters of Mercy,Leeds,Leeds,reviewed,existing_catalogue,https://musicbrainz.org/artist/553d8166-27b0-49fe-b8e4-89a984e2c375,high,4HxBVyHaUa60eCSsJWxwWR,Sisters of Mercy,Sisters of Mercy,553d8166-27b0-49fe-b8e4-89a984e2c375,,reused balanced 100-band catalogue,existing_shortlist,,4,UK003F,Leeds,2021,2969034,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Sisters of Mercy,Leeds,Sisters of Mercy,994856,771147,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Soft Cell,Leeds,Leeds,reviewed,existing_catalogue,https://musicbrainz.org/artist/7fb50287-029d-47cc-825a-235ca28024b2,high,6aq8T2RcspxVOGgMrTzjWc,Soft Cell,Soft Cell,7fb50287-029d-47cc-825a-235ca28024b2,,reused balanced 100-band catalogue,existing_shortlist,,4,UK003F,Leeds,2021,2969034,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Soft Cell,Leeds,Soft Cell,5766246,869007,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Mekons,Leeds,Leeds,reviewed,existing_catalogue,https://musicbrainz.org/artist/66d2169c-dea5-46d3-b4cb-52ed87b24ab0,high,1Ag6UM6dow2OH9V06mxzV5,Mekons,Mekons,66d2169c-dea5-46d3-b4cb-52ed87b24ab0,,reused balanced 100-band catalogue,agent_addition,,4,UK003F,Leeds,2021,2969034,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Mekons,Leeds,Mekons,40549,27778,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Mission,Leeds,Leeds,reviewed,existing_catalogue,https://musicbrainz.org/artist/d85e95a3-07c7-4c04-a411-234290615113,high,3DLtpqLMAU6uc0BOJ7JmlM,The Mission UK,The Mission UK,d85e95a3-07c7-4c04-a411-234290615113,,reused balanced 100-band catalogue,agent_addition,,4,UK003F,Leeds,2021,2969034,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Mission,Leeds,The Mission UK,6711,16916,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Wedding Present,Leeds,Leeds,reviewed,existing_catalogue,https://musicbrainz.org/artist/707622da-475f-48e1-905d-248718df6521,high,4tyCvqG48h4LdcbFfWBjR9,The Wedding Present,The Wedding Present,707622da-475f-48e1-905d-248718df6521,,reused balanced 100-band catalogue,existing_shortlist,,4,UK003F,Leeds,2021,2969034,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Wedding Present,Leeds,The Wedding Present,45749,65575,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Belle and Sebastian,Glasgow,Glasgow,reviewed,existing_catalogue,https://musicbrainz.org/artist/e5c7b94f-e264-473c-bb0f-37c85d4d5c70,high,4I2BJf80C0skQpp1sQmA0h,Belle and Sebastian,Belle and Sebastian,e5c7b94f-e264-473c-bb0f-37c85d4d5c70,,reused balanced 100-band catalogue,existing_shortlist,,5,UK004F,Glasgow,2021,1831890,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Belle and Sebastian,Glasgow,Belle and Sebastian,1141204,747098,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
CHVRCHES,Glasgow,Glasgow,reviewed,existing_catalogue,https://musicbrainz.org/artist/6a93afbb-257f-4166-b389-9f2a1e5c5df8,high,3CjlHNtplJyTf9npxaPl5w,CHVRCHES,CHVRCHES,6a93afbb-257f-4166-b389-9f2a1e5c5df8,,reused balanced 100-band catalogue,existing_shortlist,,5,UK004F,Glasgow,2021,1831890,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,CHVRCHES,Glasgow,CHVRCHES,4152413,1434807,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Deacon Blue,Glasgow,Glasgow,reviewed,existing_catalogue,https://musicbrainz.org/artist/1d46cb3a-8071-45ba-855e-74e3cff20974,high,5jqKIZLB5WA5KquEihB3ND,Deacon Blue,Deacon Blue,1d46cb3a-8071-45ba-855e-74e3cff20974,,reused balanced 100-band catalogue,agent_addition,,5,UK004F,Glasgow,2021,1831890,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Deacon Blue,Glasgow,Deacon Blue,612759,256096,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Del Amitri,Glasgow,Glasgow,reviewed,existing_catalogue,https://musicbrainz.org/artist/5b86617f-e775-4675-b6d3-c4ad95d05409,high,2Q4FnG5T6NTUcAAZwuMV5K,Del Amitri,Del Amitri,5b86617f-e775-4675-b6d3-c4ad95d05409,,reused balanced 100-band catalogue,agent_addition,,5,UK004F,Glasgow,2021,1831890,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Del Amitri,Glasgow,Del Amitri,827530,117032,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Franz Ferdinand,Glasgow,Glasgow,reviewed,existing_catalogue,https://musicbrainz.org/artist/aa7a2827-f74b-473c-bd79-03d065835cf7,high,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,Franz Ferdinand,aa7a2827-f74b-473c-bd79-03d065835cf7,,reused balanced 100-band catalogue,existing_shortlist,,5,UK004F,Glasgow,2021,1831890,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Franz Ferdinand,Glasgow,Franz Ferdinand,10807735,3218082,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Mogwai,Glasgow,Glasgow,reviewed,existing_catalogue,https://musicbrainz.org/artist/d700b3f5-45af-4d02-95ed-57d301bda93e,high,34UhPkLbtFKRq3nmfFgejG,Mogwai,Mogwai,d700b3f5-45af-4d02-95ed-57d301bda93e,,reused balanced 100-band catalogue,agent_addition,,5,UK004F,Glasgow,2021,1831890,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Mogwai,Glasgow,Mogwai,370209,647271,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Primal Scream,Glasgow,Glasgow,reviewed,existing_catalogue,https://musicbrainz.org/artist/55704c38-224f-4b75-b29f-d43653f8bc9a,high,3wury2nd8idV4GecUg5xze,Primal Scream,Primal Scream,55704c38-224f-4b75-b29f-d43653f8bc9a,,reused balanced 100-band catalogue,existing_shortlist,,5,UK004F,Glasgow,2021,1831890,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Primal Scream,Glasgow,Primal Scream,1165795,590819,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Simple Minds,Glasgow,Glasgow,reviewed,existing_catalogue,https://musicbrainz.org/artist/f41490ce-fe39-435d-86c0-ab5ce098b423,high,6hN9F0iuULZYWXppob22Aj,Simple Minds,Simple Minds,f41490ce-fe39-435d-86c0-ab5ce098b423,,reused balanced 100-band catalogue,existing_shortlist,,5,UK004F,Glasgow,2021,1831890,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Simple Minds,Glasgow,Simple Minds,9628717,2504682,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Texas,Glasgow,Glasgow,reviewed,existing_catalogue,https://musicbrainz.org/artist/7289d10d-d8d2-41ff-8308-c56ec9346e07,high,5JsdVATHNPE0XdMFMRoSuf,Texas,Texas,7289d10d-d8d2-41ff-8308-c56ec9346e07,,reused balanced 100-band catalogue,agent_addition,,5,UK004F,Glasgow,2021,1831890,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Texas,Glasgow,Texas,2420479,572024,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Fratellis,Glasgow,Glasgow,reviewed,existing_catalogue,https://musicbrainz.org/artist/f4ad883e-9a92-45ed-a540-a49c2d1c36dd,high,3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,The Fratellis,f4ad883e-9a92-45ed-a540-a49c2d1c36dd,,reused balanced 100-band catalogue,agent_addition,,5,UK004F,Glasgow,2021,1831890,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Fratellis,Glasgow,The Fratellis,4131358,958629,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
A Flock of Seagulls,Liverpool,Liverpool,reviewed,existing_catalogue,https://musicbrainz.org/artist/aaa436da-b331-4e58-a0fd-3d64d090c120,high,0uAjBatvB4ubpd4kCfjmNt,A Flock Of Seagulls,A Flock Of Seagulls,aaa436da-b331-4e58-a0fd-3d64d090c120,,reused balanced 100-band catalogue,agent_addition,,6,UK006F,Liverpool,2021,1540817,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,A Flock of Seagulls,Liverpool,A Flock Of Seagulls,4670482,774464,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Atomic Kitten,Liverpool,Liverpool,reviewed,existing_catalogue,https://musicbrainz.org/artist/6fda00c2-449a-4bf4-838f-038d41a07c73,high,6JMHws5haIO6V35YNYDnDw,Atomic Kitten,Atomic Kitten,6fda00c2-449a-4bf4-838f-038d41a07c73,,reused balanced 100-band catalogue,agent_addition,Formally eligible group; pop editorial review.,6,UK006F,Liverpool,2021,1540817,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Atomic Kitten,Liverpool,Atomic Kitten,2751716,525204,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Dead or Alive,Liverpool,Liverpool,reviewed,existing_catalogue,https://musicbrainz.org/artist/98720123-fcec-47be-9e88-29a310fb2942,high,5WWSL6rElJeUk3Uc1S2RyD,Dead Or Alive,Dead or Alive,98720123-fcec-47be-9e88-29a310fb2942,,reused balanced 100-band catalogue,agent_addition,,6,UK006F,Liverpool,2021,1540817,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Dead or Alive,Liverpool,Dead Or Alive,3275455,490402,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Echo & the Bunnymen,Liverpool,Liverpool,reviewed,existing_catalogue,https://musicbrainz.org/artist/ccd4879c-5e88-4385-b131-bf65296bf245,high,0fgYKF9Avljex0L9Wt5b8Z,Echo & the Bunnymen,Echo & the Bunnymen,ccd4879c-5e88-4385-b131-bf65296bf245,,reused balanced 100-band catalogue,existing_shortlist,,6,UK006F,Liverpool,2021,1540817,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Echo & the Bunnymen,Liverpool,Echo & the Bunnymen,2210172,1120606,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Frankie Goes to Hollywood,Liverpool,Liverpool,reviewed,existing_catalogue,https://musicbrainz.org/artist/c09c8263-40ef-4352-8031-e438b1ce68fc,high,1mZu3rO7qSD09GdDpePHhY,Frankie Goes To Hollywood,Frankie Goes to Hollywood,c09c8263-40ef-4352-8031-e438b1ce68fc,,reused balanced 100-band catalogue,existing_shortlist,,6,UK006F,Liverpool,2021,1540817,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Frankie Goes to Hollywood,Liverpool,Frankie Goes To Hollywood,2758706,960764,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Gerry and the Pacemakers,Liverpool,Liverpool,reviewed,existing_catalogue,https://musicbrainz.org/artist/fe5fb618-2f8b-4158-92b6-464f31672bca,high,3UmBeGyNwr4iDWi1vTxWi8,Gerry & The Pacemakers,Gerry & The Pacemakers,fe5fb618-2f8b-4158-92b6-464f31672bca,,reused balanced 100-band catalogue,agent_addition,,6,UK006F,Liverpool,2021,1540817,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Gerry and the Pacemakers,Liverpool,Gerry & The Pacemakers,1163214,313722,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Beatles,Liverpool,Liverpool,reviewed,existing_catalogue,https://musicbrainz.org/artist/b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,high,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,,reused balanced 100-band catalogue,existing_shortlist,,6,UK006F,Liverpool,2021,1540817,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Beatles,Liverpool,The Beatles,37927636,32385954,137,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The La's,Liverpool,Liverpool,reviewed,existing_catalogue,https://musicbrainz.org/artist/ff3e88b3-7354-4f30-967c-1a61ebc8c642,high,47Z8LEl3LnQkcpva0xSthT,The La's,The La's,ff3e88b3-7354-4f30-967c-1a61ebc8c642,,reused balanced 100-band catalogue,existing_shortlist,,6,UK006F,Liverpool,2021,1540817,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The La's,Liverpool,The La's,5581915,320009,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Lightning Seeds,Liverpool,Liverpool,reviewed,existing_catalogue,https://musicbrainz.org/artist/1ba601a0-3401-4b28-8ddd-9af8203661e8,high,67YNiSqhrx1P8oPvIIvbP5,The Lightning Seeds,The Lightning Seeds,1ba601a0-3401-4b28-8ddd-9af8203661e8,,reused balanced 100-band catalogue,agent_addition,MusicBrainz treats this as a group but it began as Ian Broudie's studio project.,6,UK006F,Liverpool,2021,1540817,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Lightning Seeds,Liverpool,The Lightning Seeds,1037603,189073,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Wombats,Liverpool,Liverpool,reviewed,existing_catalogue,https://musicbrainz.org/artist/e105c272-b5d7-4135-82ef-d60bded54345,high,0Ya43ZKWHTKkAbkoJJkwIB,The Wombats,The Wombats,e105c272-b5d7-4135-82ef-d60bded54345,,reused balanced 100-band catalogue,existing_shortlist,,6,UK006F,Liverpool,2021,1540817,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Wombats,Liverpool,The Wombats,2884656,1143548,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Field Music,Newcastle,Sunderland,reviewed,exact,https://www.wikidata.org/wiki/Q1411559,high,5P1tdwsQdI6z9MXXfmYRDS,,Field Music,,Q1411559,top-20 city candidate review,Wikidata and MusicBrainz,Sunderland is included in the Newcastle Functional Urban Area.,7,UK013F,Newcastle upon Tyne,2021,1173303,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Field Music,Newcastle,Field Music,10829,39708,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Lanterns on the Lake,Newcastle,Newcastle upon Tyne,reviewed,exact,https://www.wikidata.org/wiki/Q14158905,high,7sx3r4lMo079vO7lIi0fng,,Lanterns on the Lake,,Q14158905,top-20 city candidate review,Wikidata and MusicBrainz,,7,UK013F,Newcastle upon Tyne,2021,1173303,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Lanterns on the Lake,Newcastle,Lanterns on the Lake,43202,38093,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Lighthouse Family,Newcastle,Newcastle upon Tyne,reviewed,exact,https://www.wikidata.org/wiki/Q707351,high,6edGSAX5dVpeJVwu1Q0NwJ,,Lighthouse Family,,Q707351,top-20 city candidate review,Wikidata and MusicBrainz,,7,UK013F,Newcastle upon Tyne,2021,1173303,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Lighthouse Family,Newcastle,Lighthouse Family,2921952,660194,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Little Comets,Newcastle,Jarrow,reviewed,exact,https://www.itv.com/news/tyne-tees/2015-02-20/north-east-indie-group-little-comets-break-top-20,high,7cfhZmKaLWzNLwHDxzugUH,,Little Comets,,Q4166250,top-20 city candidate review,manual origin review,"ITV documents members from Jarrow and Washington; the frozen OECD crosswalk assigns South Tyneside, including Jarrow, to Newcastle FUA.",7,UK013F,Newcastle upon Tyne,2021,1173303,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Little Comets,Newcastle,Little Comets,47976,80242,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Maxïmo Park,Newcastle,Newcastle upon Tyne,reviewed,exact,https://www.wikidata.org/wiki/Q833332,high,048FBwXjFYBWxSggPDipic,,Maxïmo Park,,Q833332,top-20 city candidate review,Wikidata and MusicBrainz,,7,UK013F,Newcastle upon Tyne,2021,1173303,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Maxïmo Park,Newcastle,Maximo Park,411159,259584,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Newcastle,Newcastle upon Tyne,reviewed,exact,https://www.wikidata.org/wiki/Q93962241,high,1F7QDWyZTLGzkyGLgFjEhU,,Pigs Pigs Pigs Pigs Pigs Pigs Pigs,,Q93962241,top-20 city candidate review,Wikidata and MusicBrainz,,7,UK013F,Newcastle upon Tyne,2021,1173303,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Newcastle,Pigs Pigs Pigs Pigs Pigs Pigs Pigs,37035,72472,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Animals,Newcastle,Newcastle upon Tyne,reviewed,exact,https://www.wikidata.org/wiki/Q131422,high,3ICflSq6ZgYAIrm2CTkfVP,,The Animals,,Q131422,top-20 city candidate review,Wikidata and MusicBrainz,,7,UK013F,Newcastle upon Tyne,2021,1173303,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Animals,Newcastle,The Animals,12324330,2812173,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Futureheads,Newcastle,Sunderland,reviewed,exact,https://www.wikidata.org/wiki/Q141703,high,3TBfn8PtXr42OrTPaoC3E8,,The Futureheads,,Q141703,top-20 city candidate review,Wikidata and MusicBrainz,Sunderland is included in the Newcastle Functional Urban Area.,7,UK013F,Newcastle upon Tyne,2021,1173303,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Futureheads,Newcastle,The Futureheads,175654,108938,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Wildhearts,Newcastle,Newcastle upon Tyne,reviewed,exact,https://www.wikidata.org/wiki/Q4347440,high,6bz0ztmnpeofmoFksV3DqL,,The Wildhearts,,Q4347440,top-20 city candidate review,Wikidata and MusicBrainz,,7,UK013F,Newcastle upon Tyne,2021,1173303,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Wildhearts,Newcastle,The Wildhearts,25540,40815,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Venom,Newcastle,Newcastle upon Tyne,reviewed,exact,https://www.wikidata.org/wiki/Q192861,high,5fwaejlOHVBAw1KhIPPaQe,,Venom,,Q192861,top-20 city candidate review,Wikidata and MusicBrainz,,7,UK013F,Newcastle upon Tyne,2021,1173303,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Venom,Newcastle,Venom,203523,617815,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
ABC,Sheffield,Sheffield,reviewed,existing_catalogue,https://musicbrainz.org/artist/87199477-b0df-4ead-84ee-9b54b4abfc3d,high,2s79xe5F6eUQkjwjww27Fh,ABC,ABC,87199477-b0df-4ead-84ee-9b54b4abfc3d,,reused balanced 100-band catalogue,agent_addition,,8,UK010F,Sheffield,2021,1168389,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,ABC,Sheffield,ABC,1028147,431631,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
