band_name,study_city_label,claimed_formation_place,origin_review_status,selection_source,notes,wikidata_id,wikidata_name,wikidata_formation_places,musicbrainz_id,musicbrainz_name,musicbrainz_begin_area,musicbrainz_area,musicbrainz_disambiguation,spotify_id,identity_resolution,origin_alignment,evidence_url,review_ready
Collectors Club,Middlesbrough,Middlesbrough,reviewed,manual identity and origin review,Formed as a Middlesbrough sixth-form band.,,,,,,,,,4J5IRxSvhATb5y1Jv8dZdI,manual_reviewed_spotify_id,manual_review,https://en.wikipedia.org/wiki/Collectors_Club,True
Das Wanderlust,Middlesbrough,Middlesbrough,reviewed,manual replacement,Replaced an ambiguous Spotify identity with a documented Middlesbrough band.,,,,,,,,,7Bc71APQFDwBuhFgyq617o,manual_reviewed_spotify_id,manual_review,https://www.allgigs.co.uk/view/artist/54759/Das_Wanderlust.html,True
The Flaming Mussolinis,Middlesbrough,Middlesbrough,reviewed,manual replacement,Replaced a candidate without a verified Spotify identity.,,,,,,,,,7DMTNRuX4yxSzVMyP5H2be,manual_reviewed_spotify_id,manual_review,https://en.wikipedia.org/wiki/The_Flaming_Mussolinis,True
Cranes,Portsmouth,Portsmouth,reviewed,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.,,,,f6dfc44d-5da4-4ed1-949b-32715630dff4,Cranes,Portsmouth,United Kingdom,British dream pop band,5q2ehaRqAFmM6tLl4vaVwP,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/f6dfc44d-5da4-4ed1-949b-32715630dff4,True
The Strange Death of Liberal England,Portsmouth,Portsmouth,pending,editorial candidate,,,,,83fb85cb-7242-41f6-8aef-64454fcecca5,The Strange Death of Liberal England,Portsmouth,United Kingdom,,,musicbrainz_exact_name_missing_spotify,exact,https://musicbrainz.org/artist/83fb85cb-7242-41f6-8aef-64454fcecca5,False
Kassassin Street,Portsmouth,Southsea,reviewed,manual identity and origin review,Southsea is within the Portsmouth Functional Urban Area.,,,,,,,,,76aX6lwh5f4lhzUQpHmXwH,manual_reviewed_spotify_id,manual_review,https://www.victoriousfestival.co.uk/2016/08/2090/,True
Is Bliss,Portsmouth,Portsmouth,reviewed,manual identity and origin review,Portsmouth-based trio.,,,,,,,,,214LZis6BGqavismw079Yg,manual_reviewed_spotify_id,manual_review,https://www.fredperry.com/eu-pt/subculture/articles/is-bliss,True
Hallan,Portsmouth,Portsmouth,reviewed,manual identity and origin review,Portsmouth-origin post-punk band.,,,,a36f921f-c30b-4ae5-8255-e1743d5b64e4,Hallan,United Kingdom,United Kingdom,,2cVFmKTidTQi4wVOWYcWi6,manual_reviewed_spotify_id,manual_review,https://hotvox.co.uk/artist/hallan/,True
Crystal Tides,Portsmouth,Portsmouth,reviewed,manual identity and origin review,University of Portsmouth describes the group as a local band.,,,,,,,,,5a94ihfgkkItCundHIPxP4,manual_reviewed_spotify_id,manual_review,https://www.port.ac.uk/news-events-and-blogs/blogs/participation-and-performance/local-band-crystal-tides-record-debut-album-at-the-university-of-portsmouth-studios,True
Ivyrise,Portsmouth,Portsmouth,reviewed,manual replacement,Replaced an ambiguous Spotify identity with a documented Portsmouth-origin band.,,,,,,,,,3Cpe6aAAVacasDfOQgb3fq,manual_reviewed_spotify_id,manual_review,https://en.wikipedia.org/wiki/Ivyrise,True
Emptifish,Portsmouth,Portsmouth,pending,editorial candidate,,,,,c135a966-9280-4925-958d-48016551e042,Emptifish,Portsmouth,United Kingdom,,,musicbrainz_exact_name_missing_spotify,exact,https://musicbrainz.org/artist/c135a966-9280-4925-958d-48016551e042,False
Acres,Portsmouth,Portsmouth,reviewed,manual replacement,Replaced an unresolved same-name artist with a documented Portsmouth band.,,,,,,,,,3y43zXffnLmhyQD1K4QCmD,manual_reviewed_spotify_id,manual_review,https://en.wikipedia.org/wiki/Acres_%28band%29,True
Battery Hens,Portsmouth,Portsmouth,reviewed,manual identity and origin review,Official Bandcamp describes the act as Portsmouth-based.,,,,,,,,,5C7dAXgTF5TguTFJaAn3KN,manual_reviewed_spotify_id,manual_review,https://batteryhens.bandcamp.com/album/battery-hens-ep,True
